id,vote_average,release_year,Profit Adj,Action,Family,Adventure,Foreign,Fantasy,Documentry,Music,Drama,Crime,Comedy,History,TV_Movie,Western,Mystery,Horror,Science_Fiction,Animation,Romance,War,Thriller
10402,5.3,1999,63534967.6159962,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10403,6.4,1992,21299613.3898459,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10409,6.3,1992,48091182.6839429,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
10414,6.5,1992,63330120.1291829,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10423,6.9,1993,74739507.7497697,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10424,5.6,1992,-13379404.454393,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
10425,5.6,2007,-22701892.2357307,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
10426,6.5,2002,16398059.8483752,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10427,6.1,1993,-9056819.77019226,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
10428,6.4,1995,-17795893.1823301,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
10431,5.9,2007,16251059.1617213,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10436,6.7,1993,-2633360.9163811,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10438,5,1993,155842306.880677,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10439,6.1,1993,17381113.3910816,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10440,6.9,1993,-3342588.39682516,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
10442,6.2,1993,-12701460.6537031,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
10448,6.2,1994,-28973439.2278665,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10461,5.3,2000,-55953658.5205251,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
10466,6.4,1986,89522594.1859598,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
10471,6.6,2000,61829660.4108459,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104755,4.7,2012,-317326.65979685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
10476,6.2,2005,15857025.4106357,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10477,4.8,2001,-48342388.6707034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10478,5.6,1996,12309796.4541966,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
10479,5.8,2000,13929213.2577745,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
10481,5,2000,124871307.998711,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10483,5.9,2008,29130291.7595223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
10488,5.5,2008,63882876.0871758,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10490,6.2,1999,748003.26896677,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10493,6.3,1989,-3825792.24241908,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
10497,6.9,1992,-4875277.1213752,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
105,7.8,1985,734056616.720674,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10501,6.8,2000,-23511591.3847563,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1051,7,1971,211954578.034975,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10518,7.1,1976,58276371.9490583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10521,5.8,2009,86051978.5149211,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10523,5.6,2008,4462807.84156128,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10527,6.1,2008,459704211.61245,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10528,6.9,2009,441146937.75828,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
10529,6,2008,-43515711.5616076,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10530,6.6,1995,416525510.848017,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
10533,5.3,1995,-56691462.9375289,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
10534,6.2,1996,-38509003.669199,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10537,6.5,1991,-5736886.96956994,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10538,5.4,1992,45168729.7374663,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10539,6.1,1996,-12621410.7558011,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10540,5.7,1981,3296541.08940216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10545,6.6,1996,193032.984421372,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
